date,total_precipitation,rain_only,soil_moisture_0_7cm,soil_moisture_7_28cm,soil_moisture_28_100cm,soil_moisture_100_255cm,surface_pressure,humidity
2024-08-05 00:00:00+07:00,0.0,0.0,0.406,0.316,0.38,0.445,1009.61957,90.60901
2024-08-05 01:00:00+07:00,0.1,0.1,0.406,0.316,0.38,0.445,1009.41455,95.034004
2024-08-05 02:00:00+07:00,0.1,0.1,0.406,0.316,0.38,0.445,1009.01495,93.61285
2024-08-05 03:00:00+07:00,0.0,0.0,0.406,0.316,0.38,0.445,1008.41626,93.61285
2024-08-05 04:00:00+07:00,0.0,0.0,0.406,0.316,0.38,0.445,1008.51135,97.328606
2024-08-05 05:00:00+07:00,0.0,0.0,0.405,0.317,0.38,0.445,1008.8107,97.328606
2024-08-05 06:00:00+07:00,0.0,0.0,0.405,0.317,0.38,0.445,1008.81036,97.62143
2024-08-05 07:00:00+07:00,0.0,0.0,0.404,0.317,0.38,0.445,1009.616,91.67481
2024-08-05 08:00:00+07:00,0.7,0.7,0.408,0.316,0.38,0.445,1010.4197,86.89172
2024-08-05 09:00:00+07:00,0.3,0.3,0.409,0.316,0.38,0.445,1010.5303,80.02719
2024-08-05 10:00:00+07:00,0.0,0.0,0.408,0.316,0.38,0.445,1010.0437,71.20354
2024-08-05 11:00:00+07:00,0.0,0.0,0.406,0.316,0.38,0.445,1009.55475,65.12272
2024-08-05 12:00:00+07:00,0.0,0.0,0.403,0.316,0.38,0.445,1008.5628,60.388176
2024-08-05 13:00:00+07:00,0.0,0.0,0.4,0.316,0.38,0.445,1007.5683,57.467556
2024-08-05 14:00:00+07:00,1.6,1.6,0.414,0.316,0.38,0.445,1007.73505,78.09717
2024-08-05 15:00:00+07:00,1.1,1.1,0.425,0.317,0.38,0.445,1006.7456,72.60053
2024-08-05 16:00:00+07:00,0.0,0.0,0.423,0.317,0.38,0.445,1007.53296,79.96063
2024-08-05 17:00:00+07:00,0.1,0.1,0.422,0.317,0.38,0.445,1007.3274,82.55326
2024-08-05 18:00:00+07:00,0.0,0.0,0.421,0.317,0.38,0.444,1007.4272,83.307106
2024-08-05 19:00:00+07:00,0.0,0.0,0.421,0.318,0.38,0.444,1008.0236,85.3166
2024-08-05 20:00:00+07:00,0.0,0.0,0.379,0.309,0.376,0.444,1008.9237,80.07676
2024-08-05 21:00:00+07:00,0.0,0.0,0.379,0.309,0.376,0.444,1009.52094,79.563225
2024-08-05 22:00:00+07:00,0.0,0.0,0.379,0.309,0.376,0.444,1009.9182,80.50029
2024-08-05 23:00:00+07:00,0.0,0.0,0.378,0.309,0.376,0.444,1009.9166,81.46377
2024-08-06 00:00:00+07:00,0.0,0.0,0.378,0.309,0.376,0.444,1009.513,85.46483
2024-08-06 01:00:00+07:00,0.0,0.0,0.378,0.309,0.376,0.444,1008.81134,88.06893
2024-08-06 02:00:00+07:00,0.0,0.0,0.378,0.309,0.376,0.444,1008.7084,90.48433
2024-08-06 03:00:00+07:00,0.0,0.0,0.378,0.309,0.376,0.444,1008.3074,91.299675
2024-08-06 04:00:00+07:00,0.0,0.0,0.377,0.31,0.376,0.444,1008.1072,91.01504
2024-08-06 05:00:00+07:00,0.0,0.0,0.377,0.31,0.376,0.444,1008.10486,91.83479
2024-08-06 06:00:00+07:00,0.0,0.0,0.377,0.31,0.376,0.444,1008.5009,93.22633
2024-08-06 07:00:00+07:00,0.0,0.0,0.377,0.31,0.376,0.444,1009.1111,85.163414
2024-08-06 08:00:00+07:00,0.0,0.0,0.378,0.31,0.376,0.444,1009.8312,73.50413
2024-08-06 09:00:00+07:00,0.0,0.0,0.377,0.31,0.376,0.444,1009.8451,62.698875
2024-08-06 10:00:00+07:00,0.0,0.0,0.375,0.31,0.375,0.444,1009.45715,51.839436
2024-08-06 11:00:00+07:00,0.0,0.0,0.373,0.31,0.375,0.444,1008.96643,46.08779
2024-08-06 12:00:00+07:00,0.0,0.0,0.37,0.31,0.375,0.444,1008.17444,43.549595
2024-08-06 13:00:00+07:00,0.0,0.0,0.368,0.31,0.375,0.444,1007.0797,42.610676
2024-08-06 14:00:00+07:00,0.0,0.0,0.366,0.31,0.375,0.444,1006.3727,52.99857
2024-08-06 15:00:00+07:00,0.0,0.0,0.364,0.309,0.375,0.444,1006.2615,56.438854
2024-08-06 16:00:00+07:00,0.0,0.0,0.363,0.309,0.375,0.444,1006.0603,56.901443
2024-08-06 17:00:00+07:00,0.0,0.0,0.362,0.309,0.374,0.444,1006.2545,65.49926
2024-08-06 18:00:00+07:00,0.0,0.0,0.362,0.309,0.374,0.444,1006.84235,72.302704
2024-08-06 19:00:00+07:00,0.0,0.0,0.361,0.309,0.374,0.444,1007.73505,77.15722
2024-08-06 20:00:00+07:00,0.0,0.0,0.363,0.31,0.376,0.444,1008.73267,78.801735
2024-08-06 21:00:00+07:00,0.0,0.0,0.363,0.31,0.376,0.444,1009.2244,83.07245
2024-08-06 22:00:00+07:00,0.0,0.0,0.363,0.31,0.376,0.444,1009.32294,83.8075
2024-08-06 23:00:00+07:00,0.0,0.0,0.363,0.311,0.376,0.444,1009.2219,84.04516
2024-08-07 00:00:00+07:00,0.0,0.0,0.362,0.311,0.376,0.444,1009.12213,81.2849
2024-08-07 01:00:00+07:00,0.0,0.0,0.362,0.311,0.376,0.444,1009.1148,87.85212
2024-08-07 02:00:00+07:00,0.0,0.0,0.362,0.311,0.376,0.444,1008.8142,88.63955
2024-08-07 03:00:00+07:00,0.0,0.0,0.362,0.311,0.376,0.444,1008.4128,89.70034
2024-08-07 04:00:00+07:00,0.0,0.0,0.362,0.311,0.376,0.444,1008.51,90.49792
2024-08-07 05:00:00+07:00,0.0,0.0,0.362,0.311,0.376,0.444,1008.7065,90.1913
2024-08-07 06:00:00+07:00,0.0,0.0,0.362,0.311,0.376,0.444,1009.1034,90.16672
2024-08-07 07:00:00+07:00,0.0,0.0,0.362,0.311,0.376,0.444,1009.90967,83.87442
2024-08-07 08:00:00+07:00,0.0,0.0,0.36,0.311,0.376,0.444,1010.52966,71.076614
2024-08-07 09:00:00+07:00,0.0,0.0,0.359,0.31,0.376,0.444,1010.44385,63.470844
2024-08-07 10:00:00+07:00,0.0,0.0,0.358,0.31,0.375,0.444,1009.9562,57.207424
2024-08-07 11:00:00+07:00,0.0,0.0,0.356,0.31,0.375,0.444,1009.2668,51.715263
2024-08-07 12:00:00+07:00,0.0,0.0,0.354,0.31,0.375,0.444,1008.27576,46.981987
2024-08-07 13:00:00+07:00,0.0,0.0,0.352,0.31,0.375,0.444,1007.37854,44.893158
2024-08-07 14:00:00+07:00,0.0,0.0,0.351,0.31,0.375,0.444,1007.05853,63.91031
2024-08-07 15:00:00+07:00,0.0,0.0,0.349,0.31,0.375,0.444,1006.66034,56.25364
2024-08-07 16:00:00+07:00,0.0,0.0,0.348,0.309,0.375,0.444,1006.5587,59.01184
2024-08-07 17:00:00+07:00,0.0,0.0,0.348,0.309,0.374,0.444,1006.9506,63.65442
2024-08-07 18:00:00+07:00,0.0,0.0,0.347,0.309,0.374,0.444,1007.6428,67.4647
2024-08-07 19:00:00+07:00,0.0,0.0,0.347,0.309,0.374,0.444,1008.2344,80.25543
2024-08-07 20:00:00+07:00,0.0,0.0,0.349,0.31,0.375,0.444,1009.5339,70.69794
2024-08-07 21:00:00+07:00,0.0,0.0,0.349,0.31,0.375,0.444,1009.9242,80.373474
2024-08-07 22:00:00+07:00,0.0,0.0,0.349,0.31,0.375,0.444,1010.3222,77.22765
2024-08-07 23:00:00+07:00,0.0,0.0,0.349,0.31,0.375,0.444,1010.3164,81.4763
2024-08-08 00:00:00+07:00,0.0,0.0,0.349,0.31,0.375,0.444,1010.2123,84.95526
2024-08-08 01:00:00+07:00,0.0,0.0,0.349,0.31,0.375,0.444,1010.01135,84.934425
2024-08-08 02:00:00+07:00,0.0,0.0,0.349,0.31,0.375,0.444,1009.51337,83.15248
2024-08-08 03:00:00+07:00,0.0,0.0,0.349,0.31,0.375,0.444,1009.31323,83.651405
2024-08-08 04:00:00+07:00,0.0,0.0,0.349,0.31,0.375,0.444,1009.1117,83.62331
2024-08-08 05:00:00+07:00,0.0,0.0,0.349,0.311,0.375,0.444,1009.0096,83.58389
2024-08-08 06:00:00+07:00,0.0,0.0,0.348,0.311,0.375,0.444,1009.4053,84.56892
2024-08-08 07:00:00+07:00,0.0,0.0,0.348,0.311,0.375,0.444,1010.21094,80.6228
2024-08-08 08:00:00+07:00,0.0,0.0,0.347,0.31,0.375,0.444,1011.23425,68.88314
2024-08-08 09:00:00+07:00,0.0,0.0,0.346,0.31,0.375,0.444,1011.2444,64.31456
2024-08-08 10:00:00+07:00,0.0,0.0,0.345,0.31,0.375,0.444,1011.0546,57.935024
2024-08-08 11:00:00+07:00,0.0,0.0,0.344,0.31,0.375,0.444,1010.16595,52.230984
2024-08-08 12:00:00+07:00,0.1,0.1,0.343,0.31,0.375,0.444,1009.17053,49.51152
2024-08-08 13:00:00+07:00,0.5,0.5,0.345,0.31,0.375,0.444,1008.2745,49.14729
2024-08-08 14:00:00+07:00,0.8,0.8,0.351,0.31,0.374,0.444,1007.6643,58.21736
2024-08-08 15:00:00+07:00,0.3,0.3,0.352,0.31,0.374,0.444,1007.2658,61.504826
2024-08-08 16:00:00+07:00,0.4,0.4,0.354,0.309,0.374,0.444,1007.35925,64.926414
2024-08-08 17:00:00+07:00,0.2,0.2,0.355,0.309,0.374,0.444,1007.55066,73.20246
2024-08-08 18:00:00+07:00,0.1,0.1,0.356,0.309,0.374,0.444,1008.1416,79.429596
2024-08-08 19:00:00+07:00,0.0,0.0,0.356,0.31,0.374,0.444,1009.43665,81.31577
2024-08-08 20:00:00+07:00,0.0,0.0,0.385,0.306,0.377,0.444,1010.0348,74.05294
2024-08-08 21:00:00+07:00,0.0,0.0,0.384,0.306,0.377,0.444,1010.6279,83.92858
2024-08-08 22:00:00+07:00,0.0,0.0,0.384,0.307,0.377,0.444,1010.5246,88.532974
2024-08-08 23:00:00+07:00,0.0,0.0,0.384,0.307,0.377,0.444,1010.621,88.22716
2024-08-09 00:00:00+07:00,0.0,0.0,0.384,0.307,0.377,0.444,1010.1185,88.45225
2024-08-09 01:00:00+07:00,0.0,0.0,0.383,0.307,0.377,0.444,1009.5165,89.76233
2024-08-09 02:00:00+07:00,0.0,0.0,0.383,0.307,0.377,0.444,1009.2134,93.321556
2024-08-09 03:00:00+07:00,0.0,0.0,0.383,0.307,0.377,0.444,1009.01306,93.316734
2024-08-09 04:00:00+07:00,0.0,0.0,0.382,0.307,0.377,0.444,1008.71466,91.92544
2024-08-09 05:00:00+07:00,0.0,0.0,0.382,0.307,0.377,0.444,1008.7121,93.58965
2024-08-09 06:00:00+07:00,0.0,0.0,0.382,0.307,0.377,0.444,1009.0103,94.14864
2024-08-09 07:00:00+07:00,0.0,0.0,0.382,0.307,0.377,0.444,1009.8182,87.90742
2024-08-09 08:00:00+07:00,0.0,0.0,0.382,0.306,0.377,0.444,1010.1358,74.31058
2024-08-09 09:00:00+07:00,0.0,0.0,0.381,0.306,0.377,0.444,1010.1492,63.04282
2024-08-09 10:00:00+07:00,0.0,0.0,0.379,0.306,0.377,0.444,1009.46295,54.67421
2024-08-09 11:00:00+07:00,0.0,0.0,0.377,0.306,0.377,0.444,1008.4754,48.153225
2024-08-09 12:00:00+07:00,0.0,0.0,0.374,0.306,0.376,0.444,1007.3811,46.537704
2024-08-09 13:00:00+07:00,0.5,0.5,0.376,0.306,0.376,0.443,1006.3777,53.999516
2024-08-09 14:00:00+07:00,0.3,0.3,0.376,0.306,0.376,0.443,1005.57635,56.927822
2024-08-09 15:00:00+07:00,0.2,0.2,0.376,0.306,0.376,0.443,1004.87726,52.737675
2024-08-09 16:00:00+07:00,0.0,0.0,0.375,0.306,0.376,0.443,1004.77203,49.53282
